id,title,runningTimeInMinutes,releaseDate,certificate,rating,ratingcount,text
tt1951264,The Hunger Games: Catching Fire,146,2013-11-22,PG-13,7.5,713643,Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.
tt0076759,Star Wars: Episode IV - A New Hope,121,1977-05-25,PG,8.6,1434987,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
tt13320622,The Lost City,112,2022-03-25,PG-13,6.1,152994,A reclusive romance novelist on a book tour with her cover model gets swept up in a kidnapping attempt that lands them both in a cutthroat jungle adventure.
tt3659388,The Martian,144,2015-10-02,PG-13,8.0,910982,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive and can survive until a potential rescue."
tt9362930,Blue Beetle,127,2023-08-18,PG-13,6.0,86575,"An alien scarab chooses Jaime Reyes to be its symbiotic host, bestowing the recent college graduate with a suit of armor that's capable of extraordinary powers, forever changing his destiny as he becomes the superhero known as Blue Beetle."
tt8589698,Teenage Mutant Ninja Turtles: Mutant Mayhem,99,2023-08-02,PG,7.2,57049,The Turtle brothers work to earn the love of New York City while facing down an army of mutants.
tt15153532,Strays,93,2023-08-18,R,6.3,24751,An abandoned dog teams up with other strays to get revenge on his former owner.
tt0330373,Harry Potter and the Goblet of Fire,157,2005-11-18,PG-13,7.7,673482,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares."
tt5971474,The Little Mermaid,135,2023-05-26,PG,7.2,151541,A young mermaid makes a deal with a sea witch to trade her beautiful voice for human legs so she can discover the world above water and impress a prince.
tt16253418,No Way Up,90,2024-02-16,R,5.1,227,Characters from different backgrounds are thrown together when the plane they're travelling on crashes into the Pacific Ocean. A nightmare fight for survival ensues with the air supply running out and dangers creeping in from all sides.
tt0112384,Apollo 13,140,1995-06-30,PG,7.7,311959,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.
tt11138512,The Northman,137,2022-04-22,R,7.0,247116,A young Viking prince is on a quest to avenge his father's murder.
tt0317219,Cars,117,2006-06-09,G,7.2,461273,"On the way to the biggest race of his life, a hotshot rookie race car gets stranded in a rundown town and learns that winning isn't everything in life."
tt21942598,Freaky Tales,106,2024-01-18,R,8.0,96,"Four interconnected stories set in 1987 Oakland, CA. will tell about the love of music, movies, people, places and memories beyond our knowable universe."
